Z	L	D
ኣብ ሰልሳይ ማዕልቲ ብርሃን ሒዝካ ሕጋ እንድሕር ተረኺቡ ማለተ እዩ ናብ እንዳ ጓል ሰላሕ ኢልካ ብንጉሆ ሰብ ከይተልዓለ ክልተ ኣዕርኽቲ ይኸዱ እሞ ከይትርአኻ ወይካዓ ጎይኻ ናብውሽጢ ገዛ ወይከዓ ኣብ ግድግዳ ዓዲ ትስቀሎ እሞ ዕልልልልልል ትብል ተሸኒፈን ማለት እዩ ።	ኣብ ሰልሳይ መዓልቲ ብርሃን ሒዝኻ ሕጋ እንድሕር ትገንዩ ማለተይ እዩ ላብ ዓዲ ጓል ሸላሕ ኢልኻ ብንጉሆ ሰብ ተይትልዓለይ ኽልተ ኣዕርኽቲ ትኸድ ዶ ተይትርአኻይ ወይ ሰጊግኻ/ጎይኻ ላብ ውሽጢ ዓዲ ወይለ ኣብ ግድግዳ ዓዲ ትስቀሎ ዶ ዕልልልልልል ትብል ያው ትሸኒፈን ማለት እዩ።	ኣብ ሰልሳይ ማዕንቲ ብርሃን ሕዝኻ ሕጋ ኢንድሒ ትገንዩ ማለተይ ዩኡ ዳዓዲ ጓል ሸላሕ ብኻ ብንጉሆ ሰብ ተይትልዓለይ ኽልተ ኣዕርኽቲ ትኸድማ ተይትርአኻይ ወይ ሰግኻ/ጎይኻ ዳውሽጢ ዓዲ ወይለ ኣብ ግድግዳ ዓዲ ትስቀልዋ ዕልልልልልል ትብል ያው ትሸንፈን ማለት ዩኡ።
ጎራሓት ግን ገና ብንጉሆኡ ትልዒለን ታኒካ ሙሉእ ሓተላ ሒዘን ከይትኣቱ በቲ ነኳል በሪ ይሕልዋኻ።	ጎራሓት ግን ገና ብንጉሆኡ ትልዒለን ታኒካ ሙሉእ ሓተላ ሒዘን ከይትግብእ ብቲ ነዃል/በሪ ይሕዋኻ።	ጎራሓት ግን ገና ብንጉሆኡ ትልዕለን ታኒካ ሙሉእ ሓተላ ሕዘን ሀይትግብእ ብቲ ነኻል ነኻል/በሪ በሪ ይሕልያኻ።
ከይኣተኻ ብሓተላ እንተፀይቐናኻ ግን ብርሃን ይሃሉ ኣይሃሉ ትሸኒፍካ ማለት እዩ ።	ተይገባእኻይ ብሓተላ ተፀይቐናኻ ግን ያው ብርሃን ይሃሉ ኣይሃልው ተሸኒፍኻ ማለት እዩ።	ተይገባእኻይ ብሓተላ እንተፀይቐናኻ ግን ያው ብርሃን ይሃሊ ኣይሃሊ ትሸንፍኻ ማለት ዩኡ።
እንድሕር ኣሸንፍኻ ግን ቅርሺ ይህባኻ እሞ ሒዝኻ ፋዕነን እናበካ (ስለ ዘሸነፍካ) ናብ ገዛኻ ትኸድ ዓዲ ከም ዘሸንፍካ ተብስር።	እንድሕር ኣሸኒፍኻ ግን ቑርሺ ይህባኻ ሞ ሒዝኻ ፋዕነን ላበልኻ (ስለ ላሸነፍኻ) ልዓድኻ ትኸድ ዓዲ ሃምላሸንፍኻ ታበስር።	እንድሒ ኣሸንፍኻ ግን ቑርሺ ይህባኻማ ሕዝኻ ፋዕነን ላበኻ(ስለዳሸነፍኻ) ዳዓዲኻ ትኸድ ዓዲ ሃምዳሸንፍኻ ታበስር።
እንኳዕ ብርሃን ረአናየ ማለት ሓደ ነቲ መርዓኡ ባዕሉ ከም ብርሃን ወይከዓ ደስታ እዩ ዝቑፀር እሞ እንኳዕ ብርሃን ረአናየ ይበሃል።	እንኳዕ ብርሃን ረአናየ ማለት ሓደ ልቲ መርዓኡ ባዕሉ ሃም ብርሃን ወይለ ደስታ እዩ ልቑፀር ሞ እንኳዕ ብርሃን ረአናየ ይበሃል።	እንኳዕ ብርሃን ረአናየ ማለት ሓደ ድቲ መርዓኡ ባዕሉ ሃም ብርሃን ወይለ ደስታ ዩኡ ድቑፀርማ እንኳዕ ብርሃን ረአናየ ይበሃል።
ካልኣይ ብርሃን ድማ ሕጋ ተዓቂቡ ተገንዩ ካልኣይ ብርሃን ስለ ዝኾነ ናይሰልሳይ ማዕልቲ ብርሃን እሱ እዩ ።	ኻልኣይ ብርሃን ለለ ሕጋ ትዓቂቡ ተትገንዩ ያው ኻልኣይ ብርሃን ስለ ልኾነ ናሰልሳይ መዓልቲ ብርሃን እሱ እዩ።	ኻልኣይ ብርሃን ደማ ሕጋ እንተ ደይትዳህመሸ ትገንዩ ያው ኻልኣይ ብርሃን ስለ ድኾነ ናሰልሳይ ማዕንቲ ብርሃን ኡሱ ዩኡ።
ዕልልልል ብርሃን ርኣና ይበሃል ካብቲ ናይ ብርሃን ደም ሒዝካ ስለ ዝክየድ።	ዕልልልል ብርሃን ርኢና ይበሃል ካፍቲ ናብርሃን ደም ሒዝኻ ስለ ልትኸድ።	ዕልልልል ብርሃን ርእና ይበሃል ካቲ ናብርሃን ደም ሕዝኻ ስለ ትኸድ።
ኣብ ሰልሳይ መዓልቲ መልሲ ናብ እንዳ ጓል ትኸድ ከም ሎሚ ሎሚኳ የለንዋ ከም ቀደም ቀደም ግን ጫጉላ ነይሩ ነብስኻ መልሲካ ፆጉርኻ ቀቲልኻ ትምለስ።	ኣብ ሰልላይ መዓልቲ መልሲ ላብዓዲ ጓል ትኸድ ሃም ሎሚ ሎሚኳ የለይዋ ሃም ቓደም ቓደም ግን ጫጉላ ነይሩ ነብስኻ መሊስኻ ጨጉርኻ ቓቲልኻ ትምለስ።	ኣብ ሰልላይ መዓልቲ መልሲ ዳዓዲ ጓል ትኸድ ሃም ለሚ ለሚኳ የለይዋ ሃም ቓደም ቓደም ግን ጨጉላ ነብሩ ነብስኻ መልሽኻ ጨጉርኻ ቓትልኻ ትምለስ።
ሐዚ ግን ምስቲ ግዜ ብሕትልናን ቅጥነት ግዜን ብዙሕ ድሕሪ ሰልሳይ ማዕልቲ ምቕናይ የለን።	ኸዚ ኸዚ ግን ምስቲ ግዜ ብሕትልናለ ቓጠና ግዜለ ብዙሕ ድሕሪ ሰልሳይ መዓልቲ ምቕናይ የለይ።	ሐዚ ሐዚ ግን ምስቲ ግዜ ብሕትልናለ ቓጠና ግዜለ ብዙሕ ድሕሪ ሰልሳይ ማዕንቲ ምቕናይ የለይ።
ድሕሪዚ ጉጂ ምውፃእ ኣሎ።	ድሕሪዚ ጉጂ ምውፃእ እኒኦ።	ድሕሪዚ ጉጂ ምውፃእ እነሆ።
ጉጂ ትወፅ ከለኻ ብፍላይ ንምርዓት በተሰብ ክንዲ ዘለዎን ጉዕዞ ገዛ በቢ ዓይነቱ ይህባኻ ጉጅኻ ትወፅእ ቀፂሉ ድኣ ምስ ጉጅኻ ምእራግ እዩ እምበር።	ጉጂ ትወፅለኻ በተለይ ልመርዓት በተሰብ ህንዲ ለለወን ጉዑዞ ዓዲ በየ ዓይነቱ ይህባኻ ጉጅኻ ትወፅእ ካዉኡማ ምስ ጉጅኻ ምእራግ እዩ እምበይ።	ጉጂ ትወፅለኻ በተለይ ድምርዓት በተሰብ ህንዲ ድነሀወን ጉዑዞ ዓዲ በየ ዓይነቱ ይህባኻ ጉጅኻ ትወፅእ ካዉኡማ ምስ ጉጅኻ ምንጅጅ ዩኡ ደኣማ።
ኒቲ ስነ ስርዓት መርዓ ዓዲና ምሒር እየ ዝፎትዎ ነገር ግን ብዘይ ኣግባብ ዝወፅለው ወጭታት ብመጠኑ ተዝኾን ግን ኣይምነይን ነይሩዋ መን እሞ ሰማዒ።	እቲ ስነ ስርዓት መርዓ ዓዲና ከርና እየ ልፎቲዎ ነገር ግን ብለይ ኣግባብ ልወፅለው ወፃኢታት ብመጠኑ ካልኾን ግን የምነውይ ነይሩዋ መንማ ሰማዒ።	እቲ ስነ ስርዓት መርዓ ዓዲና ከርና የአ ድፎቲዮ ነገር ግን ብደይ ኣግባብ ድወፅለዩ ወጭታት ብመጠኑ ካድኾን ግን ኣይሙነይይ ነብሩዋ መንማ ሰማዒ።
ኩሉ ዋይ መርዓ ጓለይ ወርዓ ወደይኮ እዩ እናበለ መዓንጣኡ ካብ ዝወፅእ ጥፍኣት የጥፍእ ዘለዎኦ ኩሉ ንግፍግፍ ኣቢሉ ዕርፍ ቀፂሉ ዎእ እንዳ ክስቶ ዝነበርካ መርዓ የዒስ እናተብሃለሉ ከብዱ እናሓኾኸ ብዝና ይነበር።	ኹሉ ዋይ መርዓ ጓለይ ወርዓ ወደይኮ እዩ ላበለ መዓንጣኡ ካልወፅእ ጥፍኣት ያጥፍእ ለለዎኦ ኹሉ ጭርስርስ ኣቢሉ ዕርፍ ካዉኡ ሆእ ዓዲመንደኾን ልነበርኻ መርዓ ያጎይታ ላትብሃለሉ ኻብዱ ላሓኾኸ ብዝና ይነበር።	ኹሉ ዋይ መርዓ ጓለይ ወርዓ ወደይኮ ዩኡ ላበለ መዓንጣኡ ካድወፅእ ጥፍኣት ያጥፍእ ድነሀዎኦ ኹሉ ጥርስርስ ኣብሉ ዕርፍ ካዉኡ ሆእ ዓዲመንደኾን ድነበርኻ መርዓ ያጎይታ ላትብሃለሉ ኻብዱ ላሓኾኸ ብዝና ይነበር።
ባህልና ንሓልዎ ወፃኢና ግን መጠን ይሃልዎ፡፡	ባህልና ንሓልዎ ወጭና ግን መጠን ይሃልዎ፡፡	ባህልና ንሓልዮ ወጭና ግን መጠን ይሃልዮ.....
ብዙሕ ዝረሳዕኩዎ ክህሉ እዩ ግን ክንዲ መዘኻኸሪ እዩ ባህልና ከይርሳዕ ጎተትዋ፡፡	ብዙሕ ብዙሕ ልተረሳዕኹዎ ክህልው እዩ ግን ህንዲ መዘኻኸሪ እዩ ባህልና ከይርሳዕ ጎተትዋ፡፡	ብዙሕ ብዙሕ ትረሳዕኹዎ ክህሊ ዩኡ ግን ህንዲ መዘኻኸሪ ዩኡ ባህሊና ከይርሳዕ ጎተትዋ
ናይቲ መርዓ ስነ ስርዓት ዝገልፁ ፎቶታት ካብ ፌስቡክን መሓዙተይን ዝተቀራረመ እዩ ።	ናቲ መርዓ ስነ ስርዓት ልገልፁ ፎቶታት ካብ ፌስቡክይ መሓዙተይይ ልተቐራረመ እዩ።	ናቲ መርዓ ስነ ስርዓት ድገልፁ ፎቶታት ካብ ፌስቡክይ መሓዙተይይ ትቓራረመ ዩኡ።
ንኩሎም ሰብ ፎቶ ባህሊና ከምዚ ክፋለጥ ንምግባር ብፎቶ ቀሪፆም ናብ ማሕበረሰብ ገፅ መፅሓፍ ዝዝርግሕለውዎ ክብረት ይሃበለይ።	ልኹሎም ሰብ ፎቶ ባህሊና ሃምዚ ክፋለጥ ልምግባር ብፎቶ ቓሪፆም ላብ ማሕበረሰብ ገፅ መፅሓፍ ልዝርግሕለውዎ ክብረት ይሃበለይ።	ድኹሎም ሰብ ፎቶ ባህሊና ሃምዚ ክፋለጥ ድምግባር ብፎቶ ቓርፆም ዳብ ማሕበረሰብ ገፅ መፅሓፍ(Facebook)ድዝርግሕለዩዎ ክብረት ይሃበለይ።
ባህልና ክዓቢ እንተደሊና ኩልና ብዓቕምና ኣብ ምፍላጥ ይኹን ብዝተፈላለዩ መልክዕ ኣብ ምስናድ ንሳተፍ።	ባህሊና ክዓቢ ተደሊና ኹልና ብዓቕምና ኣብ ምፍላጥ ይኹን ብልተፈላለዩ መልክዕ ኣብ ምስናድ ንሳተፍ።	ባህሊና ክዓቢ ተደልና ኹልና ብዓቕምና ኣብ ምፍላጥ ይኹን ብትፈላለዩ መልክዕ ኣብ ምስናድ ንሳተፍ።
©ቀጣን ጓልያቱ	©ቓጣን ጓልያቱ	©ቓጣን ጓልያቱ
ኣምበጣ ንምምካት ዝሐሸ ምንባብ ይሃልወና።	ኣምበጣ ልምምካት ልሐሸ ምንባብ ይሃልወና።	ኣምበጣ ድምምካት ድሐሸ ምንባብ ይሃልየና።
ኣብዚ ሐዚ ሰዓት ብዙሓት ለጋሳት ብገንዘብ ይኹን ብዓይነት እናሓገዙ ይርከቡ።	ኣብዚ ኸዚ ሰዓት ብዙሓት ለጋሳት ብገንዘብ ይኹን ብዓይነት ላሓገዙ ይግነዩ።	ኣብዚ ሐዚ ሰዓት ብዙሓት ለጋሳት ብገንዘብ ይኹን ብዓይነት ላሓገዙ ይግነዩ።
እቲ ሓገዝ ብዝሐሸ መንገዲ ኣብ መውዐሊኡ ክውዕልን ብኽነት ከየጋጥምን ግን ዝሐሸ ቑፅፅርን ምንባብን ክህሉ ወሳኒ እዩ ።	እቲ ሓገዝ ብልሐሸ መንገዲ ኣብ መውዐልኡ ክውዕልይ ብኽነት ከየጋጥምይ ግን ልሐሸ ቑፅፅርይ ምንባብይ ክህሉ ወሳኒ እዩ ።	እቲ ሓገዝ ብድሐሸ መንገዲ ኣብ መውዐልኡ ክውዕልይ ብኽነት ከያጋጥምይ ግን ድሐሸ ቑፅፅርይ ምንባብይ ክህሊ ወሳኒ ይኡ።
ሒዝናዮ እንከድ ዝኾነ ይኹን ሓገዝ ኣብቲ ዞባ ወይ ወረዳ ዘለው ዝምልከቶም ኣመራርሓ እንተፈሊጦም ምሕደራኡ ኣይከብድን።	ሕዝናዮ ንኸድ ልኾነ ይኹን ሓገዝ ኣብቲ ዞባ ወይ ወረዳ ለለው ልምልከቶም ኣመራርሓ ተፈሊጠሞ ምሕደራኡ ኢኻብድይ።	ሕዝናዮ ንኸድ ድኾነ ይኹን ሓገዝ ኣብቲ ዞባ ወይ ወረዳ ድነሀዩ ድምልኸቶም ኣመራርሓ ተፈልጠሞ ምሕደራኡ ኣይኻብድይ።
ኣብቲ ዞባን ወረዳን ዘለው ኣመራርሓ ህዝቦም ወዲቦም ኣብ ምምካት ኣንበጣ ዝሰርሕለውዎ ስራሕ ከርና መሐጎሲ እዩ ።	ኣብቲ ዞባይ ወረዳይ ለለው ኣመራርሓ ህዝቦም ወዲቦም ኣብ ምምካት ኣንበጣ ልሰርሕለውዎ ስራሕ ከርና መሐጎሲ እዩ ።	ኣብቲ ዞባይ ወረዳይ ድነሀዩ ኣመራርሓ ህዝቦም ወድቦም ኣብ ምምካት ኣንበጣ ድሰርሕለዩዎ ስራሕ ከርና መሐጎሲ ይኡ።
ምስቲ በዝሑ መዓት ምኻኑ ብቲ ናይዞባ ዓቕሚ ዝምከት ስለለይኾነ ግን ብክልል ንመኸተ ኣምበጣ ብፍሉይ ግብረ ሓይሊ ትመስርቱ ዘይሰርሕ እንተኮይኑ ኣብ ኣፍ ዝበፅሓ እኽሊ ገባርና ዕልምልም ይተርፋ ኣለዋ ማለት እዩ ።	ምስቲ በዝሑ መዓት ምኻኑ ብቲ ናዞባ ዓቕሚ ልምከት ስለለይኾነ ግን ብክልል ልመኸተ ኣምበጣ ብፍሉይ ግብረ ሓይሊ ተመስሪቱ ለይሰርሕ ተኾይኑ ኣብ ኣፍ ልበፅሐ እኽሊ ገባርና ዕልምልም ይቓርይሎ ማለት እዩ ።	ምስቲ በዝሑ መዓት ምኻኑ ብቲ ናዞባ ዓቕሚ ድምከት ስለደይኾነ ግን ብክልል ድመኸተ ኣምበጣ ብፍሉይ ግብረ ሓይሊ ትመስርቱ ደይሰርሕ ተኾይኑ ኣብ ኣፍ ድበፅሓ እኽሊ ገባርና ዕልምልም ቓርለያ ማለት ይኡ።
ኣብ ምክልኻል ኮሮና ዝነበረ ውዳበ ኣብ ኣምበጣ ትመሳሳሊ ስራሕ ክሰርሕ ይግበኦ።	ኣብ ምክልኻል ኮሮና ልነበረ ውዳበ ኣብ ኣምበጣ ተመሳሳሊ ስራሕ ክሰርሕ ይግበኦ።	ኣብ ምክልኻል ኮሮና ድነበረ ውዳበ ኣብ ኣምበጣ ትመሳሳሊ ስራሕ ክሰርሕ ይግበኦ።
ገባር እናበኸየ ምርኣይ ብሓቂ ተስፋ የቁርፅ።	ገባር ላበኸየ ምርኣይ ብሓቂ ተስፋ የቑርፅ።	ገባር ላበኸየ ምርኣይ ብሓቂ ተስፋ ያቑርፅ።
ንገባር ዝውግን ማለት ኣብ ግዜ ፀበባኡ ዝበፅሐሉ እዩ ።	ልገባር ልውግን ማለት ኣብ ግዜ ፀበባኡ ልበፅሐሉ እዩ ።	ድገባር ድውግን ማለት ኣብ ግዜ ፀበባኡ ድበፅሐሉ ይኡ።
ኩሉ ኣካል ሕብረተሰብ እናትናበበ ኣብ ጎኒ ገባር ይኹን።	ኹሉ ኣካል ሕብረተሰብ ላትናበበ ኣብ ጎኒ ገባር ይኹን።	ኹሉ ኣካል ሕብረተሰብ ላትናበበ ኣብ ጎኒ ገባር ይኹን።
ብቢ ከተማኡ ይኹን ብቢጣብያኡ ንግነ መናእሰይ ብዝሐሸ መንገዲ ትወድብና ገባርና ንሓግዝ!	ብቢ ከተማኡ ይኹን ብቢጣብያኡ ንግነይ መናእሰይ ብልሐሸ መንገዲ ተወዲብና ገባርና ንሓግዝ!	ብቢ ከተማኡ ይኹን ብቢጣብያኡ ንግነ መናእሰይ ብድሐሸ መንገዲ ትወድብና ገባርና ንሓግዝ!
ትግራይ መራሒኣ ሓርያ።	ትግራይ መራሒኣ ሓርያ።	ትግራይ መራሒኣ ሓርያ።
ኣብዚ ሐዚ ሰዓት ከም ደብረፅዮን ዕዱለኛ ዘሎ ኣይመስለኒይ።	ኣብዚ ኸዚ ሰዓት ሃም ደብረፅዮን ዕዱለኛ ለሎ ኣይመስለኒይ።	ኣብዚ ሐዚ ሰዓት ሃም ደብረፅዮን ዕዱለኛ ድነሆ ኣይመስለኒይ።
ካብቲ ዘለዎ ቕንዕና ናይ መገልገላይነት መንፈስይ ዝተልዓለ ኣባል ህወሓት ይኹን ካሊእ ኣካል ሕብረተሰብ ኩሉ ዝድግፎ ልባም መራሒ እዩ ተበልኩ ምግናን ኣይኮነን።	ካብቲ ለለዎ ቕንዕናይ ናመገልገላይነት መንፈስይ ልተልዓለ ኣባል ህወሓት ይኹን ኻልእ ኣካል ሕብረተሰብ ኹሉ ልድግፎ ልባም መራሒ እዩ ተበልኹ ምግናን ኣይኾነይ።	ካብቲ ድነሀዎ ቕንዕናይ ናመገልገላይነት መንፈስይ ትልዓለ ኣባል ህወሓት ይኹን ኻልእ ኣካል ሕብረተሰብ ኹሉ ድድግፎ ልባም መራሒ ይኡ ተበኹ ምግናን ኣይኾነይ።
ኣብ ዝሓለፉ ክልተ ናይ 'ብልፅግና' ዓመታት ትግራይ ሰላማ ሓሊዋ ዝፀንሐት ናይ ሰላም መጨሎት በፂሑዋ ከይኮነ ዝሐሸ ስራሕቲ ስለዝነበሩ ይመስለኒ(ምስ ብዙሕ ሽግራቱ)።	ኣብ ልሓለፉ ኽልተ ና'ብልፅግና' ዓመታት ትግራይ ሰላማ ሓልያ ልፀንሐት ናሰላም ማጫሎት በፂሑዋ እንተይኾነይ ልሐሸ ስራሕቲ ስለልነበሩ ይመስለኒ(ምስ ብዙሕ ሽግራቱ)።	ኣብ ድሓለፉ ኽልተ ና'ብልፅግና' ዓመታት ትግራይ ሰላማ ሓልያ ድፀንሐት ናሰላም ማጫሎ በፅሑዋ ተይኾነይ ድሐሸ ስራሕቲ ስለድነበሩ ይመስለኒ(ምስ ብዙሕ ሽግራቱ)።
ሰላም ምሕላዋ ዝምስገን ኮይኑ ብዙሓት ናይሰናይይ ምምሕዳር ይኹን ናይ ልምዓት ሕቶታት ከምዘለው ግሁድ እዩ ።	ሰላም ምሕላያ ልምስገን ኾይኑ ብዙሓት ናሰናይ ምምሕዳር ይኹን ናልምዓት ጥያቄታት ሃምለለው ግሁድ እዩ ።	ሰላም ምሕላያ ድምስገን ኾይኑ ብዙሓት ናሰናይ ምምሕዳር ይኹን ናልምዓት ጥያቄታት ሃምድነሀዩ ግሁድ ይኡ።
ንዞም ናይ ህዝቢ ዘልዕሎም መሰረታዊ ነገራት ብቕንዕናን ፍፃመ ኣግንዮም ዝሐሸ ግልጋሎት ክህሉ ምስራሕ ድማ ንፅባሕ ዘይበሃል ወሳኒ ጉዳይ እዩ ።	ልዞም ናህዝቢ ለልዕሎም መሰረታዊ ነገራት ብቕንዕና ፍፃመ ኣግንዮም ልሐሸ ግልጋሎት ክህሉ ምስራሕ ለለ ልነጋ ለይበሃል ወሳኒ ጉዳይ እዩ ።	ድዞም ናህዝቢ ዳልዕሎም መሰረታዊ ነገራት ብቕንዕና ፍፃመ ኣግንዮም ድሐሸ ግልጋሎት ክህሊ ምስራሕ ደማ ድነጋ ደይበሃል ወሳኒ ጉዳይ ይኡ።
ነዚ ንምትግባር ደብረፅዮን ብሕቱ ዝፍፅሞ ስለዘይኾነ ካብ ክልል ክሳብ ልምዓት ጉጅለ ዘሎ መሓዉር መንግስቲ ብናይ መገልገላይነት መንፈስ እምበር ህዝቢ ቸቸ ዝብልሉ ኣሰራርሓ ርኢኻ ከምዘይረአኻ እሽ ብምባል ክህሉ የብሉን።	ልዚ ልምትግባር ደብረፅዮን ብሕቱ ልፍፅሞ ስለለይኾነ ካብ ክልል ክሳብ ልምዓት ጉጅለ ለሎ መሓዉር መንግስቲ ብናመገልገላይነት መንፈስ እምበይ ህዝቢ ቸቸ ልብልሉ ኣሰራርሓ ርኢኻ ሃምለይረአኻ እሽ ብምባል ክህሉ የብሉይ።	ድዚ ድምትግባር ደብረፅዮን ብሕቱ ድፍፅሞ ስለደይኾነ ካብ ክልል ክሳብ ልምዓት ጉጅለ ድነሆ መሓዉር መንግስቲ ብናመገልገላይነት መንፈስ ደኣም ህዝቢ ቸቸ ድብልሉ ኣሰራርሓ ርእኻ ሃምደይረአኻ ኡሽ ብምባል ክህሊ የብሉይ።
ህዝቢ ናይደብረፅዮን ገፅ ከይኮነ ዝሐሸ ህዝቢ ዘገልግል መሓዉር መንግስቲ ክህሉ እዩ ዘድሊ።	ህዝቢ ናደብረፅዮን ገፅ ተይኾነይ ልሐሸ ህዝቢ ለገልግል መሓዉር መንግስቲ ክህሉ እዩ ልደሊ።	ህዝቢ ናደብረፅዮን ገፅ ተይኾነይ ድሐሸ ህዝቢ ዳገልግል መሓዉር መንግስቲ ክህሊ ይኡ ድዳሊ።
ነዚ ድማ ዝሐሸ ናይ ካቢኔ ምትዕርራይ ክህሉ መዓንጣኻ ሸጥ ኣቢልካ ምስራሕ ወሳኒ ይመስለኒ።	ልዚ ለለ ልሐሸ ናካቢኔ ምትዕርራይ ክህሉ መዓንጣኻ ሸጥ ኣልቢኻ ምስራሕ ወሳኒ ይመስለኒ።	ድዚ ደማ ድሐሸ ናካቢኔ ምትዕርራይ ክህሊ መዓንጣኻ ሸጥ ኣብልኻ ምስራሕ ወሳኒ ይመስለኒ።
መንግስትን ውድብን ብንፁር ተፈላልዮም ብድልየት ሓደ ፖለቲካዊ ውድብ ዝዝወር ናይ ፖለቲካ ኩነታት ከም ዘይህለው ተስፋ ይገብር።	መንግስትይ ውድብይ ብንፁር ተፈላልዮም ብድልየት ሓደ ፖለቲካዊ ውድብ ልዝወር ናፖለቲካ ኹነታት ሃም ለይህለው ተስፋ ይገብር።	መንግስቲይ ውድብይ ብንፁር ትፈላልዮም ብድልየት ሓደ ፖለቲካዊ ዉድብ ድዝወር ናፖለቲካ ኹነታት ሃም ደይህሊ ተስፋ ይገብር።
ውድብን መንግስቲን ዝተሓላለኸሉ መሓውር በጣጢስካ ኩሉ ኣብ ዝምልከቶ ቦታ ክሰርሕ ብምግባር ከምታ ህዝቢ ተሃንጥዩ ዝተቐበለካ ዝሐሸ ግልጋሎት ንህዝብኻ ብምሃብ ኣሐጉሰና።	ውድብይ መንግስቲይ ልተሓላለኸሉ መሓውር በጣጢስኻ ኹሉ ኣብ ልምልከቶ ቦታ ክሰርሕ ብምግባር ሃምታ ህዝቢ ወቕ ኢሉ ልትቓበለካ ልሐሸ ግልጋሎት ልህዝብኻ ብምሃብ ኣሐጉሰና።	ውድብይ መንግስቲይ ትሓላለኸሉ መሓውር በጣጥስኻ ኹሉ ኣብ ድምልኸቶ ቦታ ክሰርሕ ብምግባር ሃምታ ህዝቢ ወቕ ብሉ ትቓበለካ ድሐሸ ግልጋሎት ድህዝብኻ ብምሃብ ኣሐጉሰና።
